,total tweets,travel tweets,population,income
Holland Park - Yeronga,10660,729,74.5,69599
Redcliffe,5382,393,60.6,54991
Central Highlands (Tas.),2359,199,63.3,45663
Coffs Harbour,6487,480,60.5,47744
Dapto - Port Kembla,2562,145,62.7,55173
Shoalhaven,14541,1364,57.3,47905
Rouse Hill - McGraths Hill,1728,141,66.4,68813
Bringelly - Green Valley,3687,189,67.2,56166
Cronulla - Miranda - Caringbah,16825,1576,63.9,75473
Ballarat,10384,704,63.7,54534
Wodonga - Alpine,12573,1024,62.7,50427
Frankston,19451,548,65.7,53982
Murray River - Swan Hill,1986,119,59.4,43217
Brisbane Inner,98683,14288,82.3,72751
Brisbane Inner - North,20267,1821,75.5,86557
Ipswich Inner,4163,312,64.9,54450
Noosa,11943,1004,58.7,54166
Mandurah,3382,273,59.2,64693
Adelaide City,62270,11460,81.3,75443
Swan,7044,616,68.1,62636
Adelaide Hills,8346,784,63.9,61414
West Torrens,11119,1157,67.6,55398
Fremantle,11993,1298,67.1,80776
Albany,4684,274,61.0,52585
Sorell - Dodges Ferry,806,54,62.9,48892
Canberra East,1943,347,77.1,58051
Upper Murray exc. Albury,2433,293,56.4,47848
Lake Macquarie - West,2983,145,60.6,55223
Hawkesbury,1745,118,66.0,61299
Eastern Suburbs - North,91885,11563,69.4,125005
Fairfield,7017,550,67.4,48995
Creswick - Daylesford - Ballan,6314,604,61.4,50511
Loddon - Elmore,435,12,59.2,41386
Essendon,13283,787,71.3,73737
Tullamarine - Broadmeadows,30280,1918,67.5,49636
Whitehorse - East,5961,168,63.7,57997
Moira,2430,87,57.7,44038
Nundah,13558,1260,71.4,61930
Loganlea - Carbrook,1580,41,65.3,54690
Bowen Basin - North,1600,192,66.7,71283
The Hills District,4363,304,65.8,66825
Onkaparinga,10211,691,63.9,50528
Bunbury,3187,225,63.7,65330
Robina,6972,479,66.0,53404
Wheat Belt - North,2554,290,61.7,59606
Launceston,8355,219,64.1,53712
Surfers Paradise,42720,6643,69.9,60558
Woden Valley,2161,165,63.2,80285
Molonglo,763,151,74.5,78284
Urriarra - Namadgi,1222,133,73.4,71583
